id,dt,accel_x,accel_y,accel_z,accel_angle_x,accel_angle_y,accel_angle_z,angle_x,angle_y,angle_z,phase
3734,0.032,-1000.0,-16268.0,1116.0,-84.74,3.51,0.0,-85.18,5.25,28.87,1
3735,0.031,-1116.0,-16276.0,1324.0,-83.93,3.91,0.0,-85.24,5.21,28.89,1
3736,0.032,-964.0,-16096.0,864.0,-85.4,3.42,0.0,-85.22,5.14,28.9,1
3737,0.031,-1072.0,-16060.0,1264.0,-84.11,3.81,0.0,-85.23,5.12,28.94,1
3738,0.032,-1224.0,-16180.0,928.0,-84.58,4.32,0.0,-85.14,5.08,28.94,1
3739,0.031,-752.0,-16044.0,1480.0,-84.09,2.67,0.0,-85.06,4.94,28.97,1
3740,0.031,-1204.0,-16560.0,1124.0,-84.32,4.15,0.0,-85.11,4.93,28.94,1
3741,0.032,-992.0,-16196.0,780.0,-85.54,3.5,0.0,-85.03,4.84,28.94,1
3742,0.032,-1120.0,-16088.0,1244.0,-84.06,3.97,0.0,-84.95,4.82,28.91,1
3743,0.031,-1092.0,-16116.0,1116.0,-84.47,3.87,0.0,-84.88,4.8,28.86,1
3744,0.032,-1008.0,-16404.0,1200.0,-84.54,3.51,0.0,-84.77,4.71,28.82,1
3745,0.032,-1100.0,-16100.0,1316.0,-83.92,3.9,0.0,-84.74,4.66,28.78,1
3746,0.032,-1052.0,-16228.0,1048.0,-84.77,3.7,0.0,-84.69,4.6,28.77,1
3747,0.031,-1056.0,-16180.0,1280.0,-84.14,3.72,0.0,-84.69,4.57,28.73,1
3748,0.032,-908.0,-16416.0,700.0,-86.0,3.16,0.0,-84.74,4.49,28.72,1
3749,0.031,-1036.0,-16328.0,1288.0,-84.22,3.62,0.0,-84.72,4.44,28.71,1
3750,0.032,-1160.0,-16036.0,1288.0,-83.83,4.12,0.0,-84.7,4.44,28.67,1
3751,0.031,-864.0,-16356.0,800.0,-85.88,3.02,0.0,-84.77,4.42,28.67,1
3752,0.032,-1072.0,-16480.0,664.0,-85.62,3.72,0.0,-84.8,4.41,28.67,1
3753,0.031,-1052.0,-16364.0,1248.0,-84.3,3.67,0.0,-84.78,4.38,28.67,1
3754,0.031,-952.0,-16312.0,668.0,-85.92,3.34,0.0,-84.81,4.37,28.65,1
3755,0.032,-1104.0,-16400.0,988.0,-84.84,3.84,0.0,-84.82,4.37,28.65,1
3756,0.032,-816.0,-16240.0,1060.0,-85.29,2.87,0.0,-84.88,4.33,28.66,1
3757,0.031,-1008.0,-16356.0,1332.0,-84.17,3.52,0.0,-84.88,4.27,28.68,1
3758,0.031,-1064.0,-15992.0,1144.0,-84.42,3.8,0.0,-84.89,4.24,28.68,1
3759,0.032,-1184.0,-16304.0,1068.0,-84.41,4.14,0.0,-84.88,4.23,28.68,1
3760,0.032,-1044.0,-16280.0,996.0,-84.94,3.66,0.0,-84.9,4.21,28.68,1
3761,0.032,-996.0,-16428.0,956.0,-85.2,3.46,0.0,-84.95,4.2,28.66,1
3762,0.029999997,-944.0,-16284.0,1120.0,-84.86,3.31,0.0,-84.92,4.18,28.66,1
3763,0.032,-936.0,-16324.0,1188.0,-84.71,3.27,0.0,-84.88,4.16,28.65,1
