id,dt,accel_x,accel_y,accel_z,accel_angle_x,accel_angle_y,accel_angle_z,angle_x,angle_y,angle_z
259,0.025,-1.32,1.71,0.36,-1.46,-5.66,0.0,-2.14,-6.47,4.61
260,0.027,-1.19,1.52,-0.1,-2.55,-6.59,0.0,-2.74,-7.85,4.22
261,0.025,-0.92,1.74,1.87,-1.16,-6.79,0.0,-3.29,-9.33,3.97
262,0.025999999,-0.44,1.38,0.57,-3.1,-9.97,0.0,-3.7,-10.86,3.67
263,0.025999999,-0.41,1.15,0.18,-4.38,-10.47,0.0,-4.24,-12.76,3.28
264,0.025999999,-0.46,1.48,-0.21,-2.77,-10.63,0.0,-4.6,-14.17,3.08
265,0.027,0.46,1.08,0.29,-4.6,-14.71,0.0,-5.04,-15.59,2.92
266,0.025999999,0.4,1.34,0.05,-3.37,-14.75,0.0,-5.39,-17.14,2.73
267,0.027,0.79,0.99,0.12,-5.11,-16.57,0.0,-5.75,-19.05,2.51
268,0.025999999,1.1,1.04,-0.37,-5.04,-18.89,0.0,-6.17,-20.76,2.41
269,0.025999999,1.73,0.97,0.04,-5.12,-21.19,0.0,-6.37,-22.45,2.34
270,0.027,2.0,0.81,-0.02,-5.89,-22.54,0.0,-6.53,-24.3,2.19
271,0.027,1.8,1.27,-1.2,-4.02,-24.1,0.0,-6.61,-26.09,2.06
272,0.025999999,2.28,1.07,-0.43,-4.68,-24.71,0.0,-6.74,-27.54,2.02
273,0.027,3.07,1.03,0.23,-4.54,-26.78,0.0,-6.59,-29.49,1.99
274,0.025999999,2.57,0.82,-1.47,-6.43,-28.47,0.0,-6.36,-31.39,1.92
275,0.027,3.02,0.94,-1.65,-5.76,-31.15,0.0,-6.22,-32.99,1.92
276,0.027,4.21,3.65,-6.87,12.34,-58.47,0.0,-4.71,-35.56,1.93
277,0.027,4.14,0.9,-0.74,-5.29,-33.49,0.0,-4.33,-37.63,1.57
278,0.027,3.69,1.2,-2.03,-4.29,-35.39,0.0,-3.87,-39.67,1.3
279,0.027,4.35,1.36,-2.19,-3.33,-38.79,0.0,-3.61,-41.54,1.18
280,0.025999999,4.95,1.03,-1.89,-4.79,-40.11,0.0,-3.36,-43.32,1.0
281,0.027,4.62,1.42,-2.53,-3.07,-41.08,0.0,-3.02,-45.24,0.72
282,0.025999999,5.0,1.47,-2.42,-2.7,-42.21,0.0,-2.71,-46.95,0.55
283,0.027,5.02,1.62,-3.27,-2.05,-45.45,0.0,-2.48,-48.63,0.47
284,0.027999999,5.29,1.57,-3.81,-2.37,-48.62,0.0,-2.34,-50.18,0.45
285,0.025999999,5.89,1.3,-3.49,-3.63,-49.36,0.0,-2.24,-51.59,0.31
286,0.027,5.49,1.52,-4.21,-2.66,-51.06,0.0,-2.02,-52.9,0.18
287,0.027,5.88,1.58,-3.8,-2.16,-50.68,0.0,-1.78,-54.06,0.03
288,0.025999999,5.54,1.71,-4.71,-1.64,-53.54,0.0,-1.54,-55.06,-0.07
289,0.027999999,5.8,1.72,-4.57,-1.5,-53.77,0.0,-1.41,-55.86,-0.09
290,0.027,6.15,1.57,-4.66,-2.31,-55.27,0.0,-1.43,-56.64,-0.11
