id,dt,accel_x,accel_y,accel_z,accel_angle_x,accel_angle_y,accel_angle_z,angle_x,angle_y,angle_z
1129,0.028999997,-1004.28,8519.33,15044.0,29.48,3.32,0.0,30.91,5.44,51.03
1130,0.031,-1484.24,8955.16,16168.0,28.89,4.59,0.0,32.04,5.71,51.17
1131,0.029999997,-492.23,8863.05,16108.0,28.82,1.53,0.0,32.8,5.75,51.34
1132,0.029999997,-808.24,9406.93,15668.0,30.96,2.53,0.0,33.64,5.72,51.67
1133,0.028999997,-1452.22,9754.8,15584.0,31.95,4.51,0.0,34.56,5.84,51.95
1134,0.029999997,-1152.21,9862.67,15008.0,33.25,3.67,0.0,35.43,5.93,52.04
1135,0.029999997,-940.2,9958.53,14192.0,35.01,3.1,0.0,36.4,6.0,52.29
1136,0.028999997,-1396.15,10486.41,15024.0,34.81,4.36,0.0,37.24,6.3,52.43
1137,0.029999997,-1384.09,10466.24,13968.0,36.73,4.53,0.0,38.41,6.68,52.52
1138,0.031,-1340.01,10678.03,13856.0,37.51,4.38,0.0,39.8,7.23,52.6
1139,0.028999997,-1067.95,11045.88,14012.0,38.18,3.42,0.0,40.88,7.61,52.72
1140,0.031,-1151.93,11265.71,12804.0,41.24,3.86,0.0,42.01,7.76,52.9
1141,0.029999997,-1355.89,11521.53,12520.0,42.47,4.56,0.0,43.24,8.01,53.05
1142,0.029999997,-1111.85,11545.37,12504.0,42.62,3.74,0.0,44.35,8.3,53.13
1143,0.028999997,-1611.81,12293.22,12928.0,43.35,5.16,0.0,45.41,8.55,53.24
1144,0.031,-1435.73,12317.01,11504.0,46.75,4.87,0.0,46.82,9.07,53.21
1145,0.029999997,-1715.68,12568.85,12532.0,44.83,5.52,0.0,47.93,9.42,53.18
1146,0.028999997,-1759.66,12452.73,12080.0,45.59,5.79,0.0,48.76,9.56,53.37
1147,0.029999997,-2283.57,12924.65,12056.0,46.5,7.36,0.0,49.31,10.15,53.35
1148,0.031,-2719.5,13460.54,11136.0,49.6,8.85,0.0,50.09,10.59,53.25
1149,0.028999997,-1895.47,13112.38,11428.0,48.56,6.22,0.0,51.15,10.75,53.27
1150,0.029999997,-1619.47,13260.23,10920.0,50.24,5.39,0.0,52.18,10.8,53.35
1151,0.029999997,-2139.44,13692.09,10320.0,52.43,7.11,0.0,53.12,10.97,53.45
1152,0.029999997,-1691.45,13536.0,10336.0,52.29,5.67,0.0,53.79,10.88,53.52
1153,0.029999997,-2395.44,13915.91,9980.0,53.61,7.96,0.0,54.41,10.97,53.67
1154,0.029999997,-2131.41,14103.77,9304.0,55.93,7.19,0.0,55.35,11.15,53.83
